product_id,store_id,stock_quantity,reorder_level
1,5,83,48
2,9,118,27
3,20,26,27
4,6,2,24
5,9,6,79
6,4,132,30
7,15,191,53
8,13,117,67
9,7,103,25
10,7,177,49
11,20,166,22
12,5,192,34
13,3,167,76
14,9,105,53
15,20,68,50
16,19,76,62
17,1,149,34
18,18,47,28
19,1,136,42
20,11,172,77
21,2,141,57
22,8,190,37
23,16,126,72
24,12,133,22
25,14,65,51
26,11,85,22
27,18,158,52
28,1,171,34
29,5,154,57
30,16,26,63
31,12,66,49
32,2,134,53
33,7,95,62
34,11,130,65
35,11,80,67
36,3,73,72
37,15,39,37
38,3,102,29
39,20,45,74
40,14,74,79
41,1,25,46
42,6,21,45
43,5,162,21
44,3,72,70
45,19,112,37
46,11,11,22
47,18,119,57
48,7,133,37
49,13,126,41
50,19,166,70
51,9,150,31
52,20,87,69
53,8,72,32
54,8,181,61
55,17,134,36
56,18,23,21
57,3,91,38
58,1,148,72
59,10,52,65
60,13,8,57
61,6,50,72
62,10,118,54
63,18,180,38
64,5,24,30
65,10,16,55
66,18,187,37
67,1,141,27
68,2,50,34
69,2,35,20
70,19,84,61
71,1,53,66
72,4,38,49
73,7,149,76
74,18,44,29
75,8,137,33
76,14,122,71
77,11,5,40
78,1,146,58
79,18,98,71
80,11,82,72
81,2,21,23
82,10,65,27
83,1,122,57
84,11,122,47
85,10,44,20
86,2,66,28
87,5,105,29
88,12,81,77
89,1,130,24
90,17,71,36
91,9,159,25
92,17,20,26
93,7,110,58
94,8,27,34
95,2,198,66
96,18,85,69
97,10,113,52
98,7,130,33
99,12,45,55
100,13,15,35
