review_id,product_id,rating,review_text,review_date
1,89,5,Works very well,2026-09-22
2,56,2,Product quality was poor,2026-09-22
3,59,1,Product caused irritation,2026-09-22
4,90,5,Works very well,2026-09-22
5,4,1,I would not buy this again,2026-09-22
6,86,5,Good value for money,2026-09-22
7,58,3,Very disappointed,2026-09-22
8,67,5,Very good product,2026-09-22
9,29,3,Very poor quality,2026-09-22
10,52,1,I would not buy this again,2026-09-22
11,5,1,I would not buy this again,2026-09-22
12,6,1,Product caused irritation,2026-09-22
13,77,1,Product quality was poor,2026-09-22
14,72,4,Works very well,2026-09-22
15,37,5,Highly recommended,2026-09-22
16,8,5,I really liked this product,2026-09-22
17,93,1,Very disappointed,2026-09-22
18,81,5,Works very well,2026-09-22
19,2,5,Very good product,2026-09-22
20,31,3,Not worth the price,2026-09-22
21,51,2,Packaging was damaged,2026-09-22
22,10,3,Very poor quality,2026-09-22
23,50,5,Good value for money,2026-09-22
24,90,2,I would not buy this again,2026-09-22
25,57,1,Product quality was poor,2026-09-22
26,82,1,Product quality was poor,2026-09-22
27,56,1,Product quality was poor,2026-09-22
28,8,3,Very poor quality,2026-09-22
29,40,4,Very good product,2026-09-22
30,62,1,Very poor quality,2026-09-22
31,93,1,Not worth the price,2026-09-22
32,100,1,Packaging was damaged,2026-09-22
33,89,5,Good value for money,2026-09-22
34,60,5,Excellent quality,2026-09-22
35,46,4,Good value for money,2026-09-22
36,66,5,Very good product,2026-09-22
37,7,4,I really liked this product,2026-09-22
38,80,4,Good value for money,2026-09-22
39,4,1,Very poor quality,2026-09-22
40,56,5,Highly recommended,2026-09-22
41,39,1,I would not buy this again,2026-09-22
42,63,1,Packaging was damaged,2026-09-22
43,65,1,Packaging was damaged,2026-09-22
44,21,1,I would not buy this again,2026-09-22
45,96,5,Good value for money,2026-09-22
46,94,1,Product quality was poor,2026-09-22
47,55,4,Highly recommended,2026-09-22
48,12,4,Very good product,2026-09-22
49,79,1,Very disappointed,2026-09-22
50,52,2,Packaging was damaged,2026-09-22
51,65,5,Works very well,2026-09-22
52,18,1,Product caused irritation,2026-09-22
53,72,2,Very poor quality,2026-09-22
54,9,2,Product caused irritation,2026-09-22
55,63,5,Highly recommended,2026-09-22
