order_id,product_id,store_id,quantity,sales_amount,order_date
1,33,19,1,72.53,2026-09-22
2,43,12,5,185.4,2026-09-22
3,67,1,1,61.92,2026-09-22
4,40,19,2,80.78,2026-09-22
5,35,17,7,207.62,2026-09-22
6,90,10,8,136.48,2026-09-22
7,90,19,2,34.12,2026-09-22
8,7,18,4,171.88,2026-09-22
9,75,4,8,749.6,2026-09-22
10,89,4,5,229.45,2026-09-22
11,10,9,5,474.0,2026-09-22
12,24,17,3,277.05,2026-09-22
13,99,18,4,261.72,2026-09-22
14,96,5,8,166.48,2026-09-22
15,12,13,1,49.61,2026-09-22
16,23,3,9,580.86,2026-09-22
17,30,17,1,19.71,2026-09-22
18,62,16,4,274.72,2026-09-22
19,89,13,6,275.34,2026-09-22
20,59,17,3,203.34,2026-09-22
21,100,19,9,301.32,2026-09-22
22,76,7,9,295.83,2026-09-22
23,28,19,4,299.84,2026-09-22
24,16,5,5,472.75,2026-09-22
25,99,20,9,588.87,2026-09-22
26,85,16,4,85.76,2026-09-22
27,57,13,7,637.28,2026-09-22
28,53,14,7,495.67,2026-09-22
29,95,3,5,238.8,2026-09-22
30,87,15,2,54.98,2026-09-22
31,76,10,9,295.83,2026-09-22
32,58,6,1,41.43,2026-09-22
33,7,10,8,343.76,2026-09-22
34,9,2,2,142.46,2026-09-22
35,5,6,5,132.55,2026-09-22
36,83,16,8,415.2,2026-09-22
37,65,20,6,258.54,2026-09-22
38,17,13,7,675.57,2026-09-22
39,4,6,4,389.16,2026-09-22
40,31,12,3,182.07,2026-09-22
41,54,10,7,652.54,2026-09-22
42,90,7,3,51.18,2026-09-22
43,67,20,2,123.84,2026-09-22
44,92,9,8,121.92,2026-09-22
45,39,3,1,53.63,2026-09-22
46,77,17,9,690.03,2026-09-22
47,25,1,8,148.72,2026-09-22
48,38,6,5,437.35,2026-09-22
49,58,16,5,207.15,2026-09-22
50,85,4,5,107.2,2026-09-22
51,99,20,3,196.29,2026-09-22
52,57,15,2,182.08,2026-09-22
53,49,3,1,23.56,2026-09-22
54,16,11,7,661.85,2026-09-22
55,12,6,8,396.88,2026-09-22
56,76,8,8,262.96,2026-09-22
57,92,8,4,60.96,2026-09-22
58,58,5,2,82.86,2026-09-22
59,41,17,4,170.92,2026-09-22
60,73,20,1,16.78,2026-09-22
61,77,6,3,230.01,2026-09-22
62,82,5,3,121.26,2026-09-22
63,47,2,9,389.43,2026-09-22
64,10,18,8,758.4,2026-09-22
65,5,1,7,185.57,2026-09-22
66,65,15,2,86.18,2026-09-22
67,49,17,5,117.8,2026-09-22
68,77,2,1,76.67,2026-09-22
69,99,16,1,65.43,2026-09-22
70,55,17,6,154.5,2026-09-22
71,69,6,5,395.85,2026-09-22
72,3,5,5,439.8,2026-09-22
73,53,10,5,354.05,2026-09-22
74,74,17,3,75.75,2026-09-22
75,85,14,9,192.96,2026-09-22
76,1,13,3,79.53,2026-09-22
77,77,1,4,306.68,2026-09-22
78,32,8,2,117.18,2026-09-22
79,39,3,2,107.26,2026-09-22
80,50,12,1,63.18,2026-09-22
81,5,17,9,238.59,2026-09-22
82,47,15,7,302.89,2026-09-22
83,85,11,2,42.88,2026-09-22
84,51,6,7,392.63,2026-09-22
85,64,6,2,138.38,2026-09-22
86,50,18,2,126.36,2026-09-22
87,30,2,3,59.13,2026-09-22
88,52,6,9,851.85,2026-09-22
89,97,15,8,206.24,2026-09-22
90,30,10,7,137.97,2026-09-22
91,51,5,1,56.09,2026-09-22
92,29,10,4,295.84,2026-09-22
93,56,10,1,33.47,2026-09-22
94,17,5,4,386.04,2026-09-22
95,34,2,6,219.66,2026-09-22
96,77,15,3,230.01,2026-09-22
97,23,16,7,451.78,2026-09-22
98,95,16,6,286.56,2026-09-22
99,8,8,4,253.28,2026-09-22
100,4,3,8,778.32,2026-09-22
101,96,18,3,62.43,2026-09-22
102,61,19,3,31.38,2026-09-22
103,21,18,5,139.4,2026-09-22
104,92,6,6,91.44,2026-09-22
105,1,9,5,132.55,2026-09-22
106,12,17,2,99.22,2026-09-22
107,78,15,9,664.2,2026-09-22
108,86,11,8,235.36,2026-09-22
109,63,4,1,11.63,2026-09-22
110,1,17,8,212.08,2026-09-22
111,99,15,4,261.72,2026-09-22
112,47,14,8,346.16,2026-09-22
113,90,14,7,119.42,2026-09-22
114,88,13,2,194.52,2026-09-22
115,26,19,8,505.76,2026-09-22
116,7,15,3,128.91,2026-09-22
117,23,6,2,129.08,2026-09-22
118,99,15,3,196.29,2026-09-22
119,64,5,9,622.71,2026-09-22
120,28,17,7,524.72,2026-09-22
121,86,17,9,264.78,2026-09-22
122,13,4,4,339.96,2026-09-22
123,10,9,3,284.4,2026-09-22
124,18,15,4,234.28,2026-09-22
125,86,15,2,58.84,2026-09-22
126,8,17,8,506.56,2026-09-22
127,83,5,9,467.1,2026-09-22
128,6,2,4,48.32,2026-09-22
129,59,13,8,542.24,2026-09-22
130,70,1,5,261.5,2026-09-22
131,53,6,6,424.86,2026-09-22
132,70,16,7,366.1,2026-09-22
133,4,9,8,778.32,2026-09-22
134,3,8,3,263.88,2026-09-22
135,36,6,8,167.92,2026-09-22
136,66,11,4,361.12,2026-09-22
137,4,17,6,583.74,2026-09-22
138,94,6,8,281.52,2026-09-22
139,51,2,9,504.81,2026-09-22
140,79,19,8,662.72,2026-09-22
141,45,6,5,205.3,2026-09-22
142,26,4,6,379.32,2026-09-22
143,19,1,4,141.12,2026-09-22
144,20,12,1,16.71,2026-09-22
145,47,14,1,43.27,2026-09-22
146,64,5,6,415.14,2026-09-22
147,11,13,4,45.76,2026-09-22
148,3,6,1,87.96,2026-09-22
149,50,10,8,505.44,2026-09-22
150,5,10,7,185.57,2026-09-22
151,44,13,2,129.72,2026-09-22
152,40,20,2,80.78,2026-09-22
153,65,9,5,215.45,2026-09-22
154,17,11,9,868.59,2026-09-22
155,15,6,8,488.72,2026-09-22
156,35,5,1,29.66,2026-09-22
157,62,14,2,137.36,2026-09-22
158,75,2,9,843.3,2026-09-22
159,76,3,3,98.61,2026-09-22
160,1,8,8,212.08,2026-09-22
161,11,5,9,102.96,2026-09-22
162,14,5,3,79.2,2026-09-22
163,5,14,3,79.53,2026-09-22
164,26,13,4,252.88,2026-09-22
165,42,18,9,289.98,2026-09-22
166,40,7,8,323.12,2026-09-22
167,14,6,3,79.2,2026-09-22
168,97,15,7,180.46,2026-09-22
169,97,17,9,232.02,2026-09-22
170,97,2,7,180.46,2026-09-22
171,78,8,5,369.0,2026-09-22
172,51,19,7,392.63,2026-09-22
173,70,3,6,313.8,2026-09-22
174,7,8,3,128.91,2026-09-22
175,42,15,4,128.88,2026-09-22
176,29,20,1,73.96,2026-09-22
177,94,4,7,246.33,2026-09-22
178,29,1,6,443.76,2026-09-22
179,27,1,7,367.5,2026-09-22
180,68,2,6,450.12,2026-09-22
181,10,10,5,474.0,2026-09-22
